Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Sex_of_Driver,Sex_of_Casualty,Age_of_Driver,Age_of_Casualty
2.02E+12,3,2,1,08/01/18,2,10:04,3,2,1,30
2.02E+12,3,4,1,08/01/18,2,11:50,2,1,35,34
2.02E+12,3,1,1,08/01/18,2,6:50,1,1,48,37
2.02E+12,3,2,1,08/01/18,2,8:15,1,1,19,43
2.02E+12,3,2,1,08/01/18,2,13:08,1,1,47,32
2.02E+12,3,2,1,05/01/18,6,15:03,2,1,51,22
2.02E+12,3,1,1,01/01/18,2,8:08,1,1,30,32
2.02E+12,3,2,2,08/01/18,2,15:01,1,1,60,46
2.02E+12,3,2,1,05/01/18,6,18:50,1,1,25,45
2.02E+12,3,2,1,08/01/18,2,15:12,2,2,26,30
2.02E+12,2,1,1,08/01/18,2,16:07,1,1,40,33
2.02E+12,3,1,1,08/01/18,2,16:10,3,2,1,36
2.02E+12,3,3,1,08/01/18,2,16:20,1,2,63,37
2.02E+12,3,2,1,06/01/18,7,1:01,3,1,1,81
2.02E+12,3,2,1,08/01/18,2,15:10,3,1,1,73
2.02E+12,2,2,1,08/01/18,2,18:11,2,1,22,29
2.02E+12,3,2,1,08/01/18,2,17:50,1,1,28,30
2.02E+12,3,2,1,08/01/18,2,12:00,1,2,28,32
2.02E+12,3,3,1,07/01/18,1,12:30,1,2,41,46
2.02E+12,3,1,1,08/01/18,2,17:10,1,2,24,43
2.02E+12,3,1,1,08/01/18,2,16:30,1,1,28,8
2.02E+12,3,1,1,08/01/18,2,16:26,1,1,31,37
2.02E+12,3,2,1,08/01/18,2,15:00,1,1,58,23
2.02E+12,3,1,1,08/01/18,2,19:30,1,1,64,34
2.02E+12,3,1,1,08/01/18,2,17:30,1,1,38,53
2.02E+12,3,3,1,08/01/18,2,14:36,1,1,71,61
2.02E+12,3,2,1,08/01/18,2,16:55,1,2,19,64
2.02E+12,3,2,1,08/01/18,2,19:00,1,2,37,31
2.02E+12,2,2,1,08/01/18,2,19:55,1,1,17,15
2.02E+12,3,1,1,07/01/18,1,13:35,2,1,18,43
2.02E+12,3,2,1,08/01/18,2,22:05,3,2,1,54
2.02E+12,3,1,1,08/01/18,2,23:01,1,2,54,59
2.02E+12,3,2,1,09/01/18,3,2:40,1,1,35,7
2.02E+12,3,2,1,08/01/18,2,13:35,1,2,37,51
2.02E+12,3,2,1,09/01/18,3,8:23,3,1,1,54
2.02E+12,3,2,1,08/01/18,2,8:35,1,1,18,18
2.02E+12,3,2,1,09/01/18,3,7:25,1,1,32,56
2.02E+12,3,3,1,01/01/18,2,9:00,3,2,1,24
2.02E+12,3,2,1,09/01/18,3,8:30,1,2,66,24
2.02E+12,3,2,1,09/01/18,3,8:45,1,2,54,17
2.02E+12,3,1,1,09/01/18,3,9:30,1,1,46,27
2.02E+12,3,1,1,09/01/18,3,8:20,1,2,27,50
2.02E+12,3,2,1,08/01/18,2,9:15,1,1,68,55
2.02E+12,3,2,2,09/01/18,3,9:12,2,1,31,58
2.02E+12,3,1,2,09/01/18,3,9:00,2,1,32,86
2.02E+12,3,2,1,09/01/18,3,8:10,1,1,38,17
2.02E+12,3,1,1,04/01/18,5,17:45,2,1,47,26
2.02E+12,2,2,1,09/01/18,3,10:30,3,1,1,22
2.02E+12,3,2,2,09/01/18,3,11:05,1,2,45,46
2.02E+12,3,1,2,08/01/18,2,17:44,3,1,1,58
2.02E+12,3,3,1,09/01/18,3,12:00,1,2,22,18
2.02E+12,3,2,1,08/01/18,2,15:55,1,2,52,47
2.02E+12,3,2,1,09/01/18,3,13:10,1,1,60,45
2.02E+12,3,2,1,09/01/18,3,9:36,1,1,18,45
2.02E+12,3,2,1,09/01/18,3,8:39,3,1,1,31
2.02E+12,3,2,1,09/01/18,3,7:40,1,2,41,11
2.02E+12,3,2,1,09/01/18,3,8:20,1,1,47,38
2.02E+12,3,1,1,08/01/18,2,8:30,1,1,24,34
2.02E+12,3,2,1,09/01/18,3,12:50,1,1,32,44
2.02E+12,3,2,1,09/01/18,3,8:15,1,2,1,47
2.02E+12,3,2,1,09/01/18,3,14:07,1,2,33,25
2.02E+12,3,2,1,09/01/18,3,12:35,1,1,1,53
2.02E+12,2,3,1,09/01/18,3,13:39,1,1,38,51
2.02E+12,3,1,1,09/01/18,3,17:00,2,1,61,26
2.02E+12,3,1,1,09/01/18,3,16:08,1,1,51,23
2.02E+12,3,2,1,09/01/18,3,17:54,1,1,43,21
2.02E+12,3,2,1,09/01/18,3,17:00,1,1,19,39
2.02E+12,3,1,1,09/01/18,3,16:00,1,2,68,33
2.02E+12,3,2,1,09/01/18,3,17:00,3,1,1,52
2.02E+12,3,4,1,09/01/18,3,16:00,1,1,65,49
2.02E+12,3,2,1,09/01/18,3,16:04,3,1,1,42
2.02E+12,2,3,1,09/01/18,3,15:45,1,1,49,16
2.02E+12,3,2,1,09/01/18,3,16:50,1,1,30,25
2.02E+12,3,2,1,09/01/18,3,6:45,1,1,43,32
2.02E+12,3,2,1,09/01/18,3,19:05,1,2,32,33
2.02E+12,3,2,2,09/01/18,3,19:02,2,1,34,29
2.02E+12,3,1,1,09/01/18,3,18:15,3,1,1,24
2.02E+12,3,1,1,09/01/18,3,18:00,2,1,26,1
2.02E+12,3,2,1,09/01/18,3,18:00,2,1,42,28
2.02E+12,2,2,1,09/01/18,3,18:00,1,2,30,25
2.02E+12,3,2,1,09/01/18,3,20:20,1,2,57,23
2.02E+12,3,3,3,09/01/18,3,18:40,1,1,53,18
2.02E+12,3,3,1,09/01/18,3,5:50,2,1,30,81
2.02E+12,3,2,1,09/01/18,3,19:10,1,1,93,21
2.02E+12,3,2,1,09/01/18,3,8:15,1,2,29,76
2.02E+12,3,2,1,09/01/18,3,18:19,3,1,1,23
2.02E+12,3,2,1,09/01/18,3,19:30,1,1,22,44
2.02E+12,3,3,1,09/01/18,3,13:55,1,1,25,35
2.02E+12,2,2,1,09/01/18,3,20:00,2,1,67,29
2.02E+12,3,2,1,09/01/18,3,18:30,1,1,40,28
2.02E+12,3,2,1,09/01/18,3,21:47,1,2,78,52
2.02E+12,3,2,4,09/01/18,3,17:10,2,2,27,45
2.02E+12,3,2,1,09/01/18,3,15:25,1,1,60,10
2.02E+12,3,2,1,08/01/18,2,18:50,1,2,47,44
2.02E+12,3,2,1,05/01/18,6,18:15,1,1,1,38
2.02E+12,2,2,1,09/01/18,3,16:31,1,2,23,52
